indicator,date,rate,symbol
open,2022-01-04 15:35:00,32.29,TTM
high,2022-01-04 15:35:00,32.29,TTM
low,2022-01-04 15:35:00,32.27,TTM
close,2022-01-04 15:35:00,32.27,TTM
open,2022-01-04 15:34:00,32.275,TTM
high,2022-01-04 15:34:00,32.29,TTM
low,2022-01-04 15:34:00,32.27,TTM
close,2022-01-04 15:34:00,32.28,TTM
open,2022-01-04 15:33:00,32.3,TTM
high,2022-01-04 15:33:00,32.31,TTM
low,2022-01-04 15:33:00,32.27,TTM
close,2022-01-04 15:33:00,32.27,TTM
open,2022-01-04 15:32:00,32.3,TTM
high,2022-01-04 15:32:00,32.3,TTM
low,2022-01-04 15:32:00,32.2868,TTM
close,2022-01-04 15:32:00,32.2868,TTM
open,2022-01-04 15:31:00,32.31,TTM
high,2022-01-04 15:31:00,32.32,TTM
low,2022-01-04 15:31:00,32.31,TTM
close,2022-01-04 15:31:00,32.31,TTM
open,2022-01-04 15:30:00,32.3,TTM
high,2022-01-04 15:30:00,32.31,TTM
low,2022-01-04 15:30:00,32.3,TTM
close,2022-01-04 15:30:00,32.3001,TTM
open,2022-01-04 15:28:00,32.27,TTM
high,2022-01-04 15:28:00,32.3,TTM
low,2022-01-04 15:28:00,32.27,TTM
close,2022-01-04 15:28:00,32.29,TTM
open,2022-01-04 15:27:00,32.27,TTM
high,2022-01-04 15:27:00,32.28,TTM
low,2022-01-04 15:27:00,32.26,TTM
close,2022-01-04 15:27:00,32.26,TTM
open,2022-01-04 15:26:00,32.29,TTM
high,2022-01-04 15:26:00,32.29,TTM
low,2022-01-04 15:26:00,32.28,TTM
close,2022-01-04 15:26:00,32.28,TTM
open,2022-01-04 15:25:00,32.28,TTM
high,2022-01-04 15:25:00,32.3,TTM
low,2022-01-04 15:25:00,32.28,TTM
close,2022-01-04 15:25:00,32.29,TTM
open,2022-01-04 15:24:00,32.28,TTM
high,2022-01-04 15:24:00,32.28,TTM
low,2022-01-04 15:24:00,32.275,TTM
close,2022-01-04 15:24:00,32.275,TTM
open,2022-01-04 15:23:00,32.28,TTM
high,2022-01-04 15:23:00,32.28,TTM
low,2022-01-04 15:23:00,32.26,TTM
close,2022-01-04 15:23:00,32.28,TTM
open,2022-01-04 15:22:00,32.31,TTM
high,2022-01-04 15:22:00,32.31,TTM
low,2022-01-04 15:22:00,32.27,TTM
close,2022-01-04 15:22:00,32.27,TTM
open,2022-01-04 15:21:00,32.32,TTM
high,2022-01-04 15:21:00,32.33,TTM
low,2022-01-04 15:21:00,32.32,TTM
close,2022-01-04 15:21:00,32.32,TTM
open,2022-01-04 15:20:00,32.31,TTM
high,2022-01-04 15:20:00,32.33,TTM
low,2022-01-04 15:20:00,32.31,TTM
close,2022-01-04 15:20:00,32.32,TTM
open,2022-01-04 15:19:00,32.32,TTM
high,2022-01-04 15:19:00,32.32,TTM
low,2022-01-04 15:19:00,32.3,TTM
close,2022-01-04 15:19:00,32.309,TTM
open,2022-01-04 15:18:00,32.3,TTM
high,2022-01-04 15:18:00,32.3,TTM
low,2022-01-04 15:18:00,32.3,TTM
close,2022-01-04 15:18:00,32.3,TTM
open,2022-01-04 15:17:00,32.3,TTM
high,2022-01-04 15:17:00,32.305,TTM
low,2022-01-04 15:17:00,32.295,TTM
close,2022-01-04 15:17:00,32.3,TTM
open,2022-01-04 15:16:00,32.31,TTM
high,2022-01-04 15:16:00,32.31,TTM
low,2022-01-04 15:16:00,32.31,TTM
close,2022-01-04 15:16:00,32.31,TTM
open,2022-01-04 15:14:00,32.32,TTM
high,2022-01-04 15:14:00,32.32,TTM
low,2022-01-04 15:14:00,32.32,TTM
close,2022-01-04 15:14:00,32.32,TTM
open,2022-01-04 15:13:00,32.31,TTM
high,2022-01-04 15:13:00,32.32,TTM
low,2022-01-04 15:13:00,32.31,TTM
close,2022-01-04 15:13:00,32.32,TTM
open,2022-01-04 15:12:00,32.31,TTM
high,2022-01-04 15:12:00,32.31,TTM
low,2022-01-04 15:12:00,32.3,TTM
close,2022-01-04 15:12:00,32.3,TTM
open,2022-01-04 15:11:00,32.28,TTM
high,2022-01-04 15:11:00,32.3,TTM
low,2022-01-04 15:11:00,32.28,TTM
close,2022-01-04 15:11:00,32.3,TTM
open,2022-01-04 15:10:00,32.26,TTM
high,2022-01-04 15:10:00,32.27,TTM
low,2022-01-04 15:10:00,32.26,TTM
close,2022-01-04 15:10:00,32.27,TTM
open,2022-01-04 15:09:00,32.26,TTM
high,2022-01-04 15:09:00,32.26,TTM
low,2022-01-04 15:09:00,32.26,TTM
close,2022-01-04 15:09:00,32.26,TTM
open,2022-01-04 15:08:00,32.27,TTM
high,2022-01-04 15:08:00,32.27,TTM
low,2022-01-04 15:08:00,32.27,TTM
close,2022-01-04 15:08:00,32.27,TTM
open,2022-01-04 15:06:00,32.23,TTM
high,2022-01-04 15:06:00,32.24,TTM
low,2022-01-04 15:06:00,32.23,TTM
close,2022-01-04 15:06:00,32.24,TTM
open,2022-01-04 15:05:00,32.22,TTM
high,2022-01-04 15:05:00,32.23,TTM
low,2022-01-04 15:05:00,32.22,TTM
close,2022-01-04 15:05:00,32.23,TTM
open,2022-01-04 15:04:00,32.215,TTM
high,2022-01-04 15:04:00,32.215,TTM
low,2022-01-04 15:04:00,32.21,TTM
close,2022-01-04 15:04:00,32.21,TTM
open,2022-01-04 15:03:00,32.2299,TTM
high,2022-01-04 15:03:00,32.2299,TTM
low,2022-01-04 15:03:00,32.2101,TTM
close,2022-01-04 15:03:00,32.2101,TTM
open,2022-01-04 15:02:00,32.21,TTM
high,2022-01-04 15:02:00,32.21,TTM
low,2022-01-04 15:02:00,32.21,TTM
close,2022-01-04 15:02:00,32.21,TTM
open,2022-01-04 15:01:00,32.23,TTM
high,2022-01-04 15:01:00,32.23,TTM
low,2022-01-04 15:01:00,32.23,TTM
close,2022-01-04 15:01:00,32.23,TTM
open,2022-01-04 15:00:00,32.2164,TTM
high,2022-01-04 15:00:00,32.23,TTM
low,2022-01-04 15:00:00,32.2164,TTM
close,2022-01-04 15:00:00,32.23,TTM
open,2022-01-04 14:59:00,32.22,TTM
high,2022-01-04 14:59:00,32.22,TTM
low,2022-01-04 14:59:00,32.215,TTM
close,2022-01-04 14:59:00,32.215,TTM
open,2022-01-04 14:57:00,32.24,TTM
high,2022-01-04 14:57:00,32.24,TTM
low,2022-01-04 14:57:00,32.24,TTM
close,2022-01-04 14:57:00,32.24,TTM
open,2022-01-04 14:56:00,32.18,TTM
high,2022-01-04 14:56:00,32.23,TTM
low,2022-01-04 14:56:00,32.18,TTM
close,2022-01-04 14:56:00,32.23,TTM
open,2022-01-04 14:55:00,32.1473,TTM
high,2022-01-04 14:55:00,32.2,TTM
low,2022-01-04 14:55:00,32.1473,TTM
close,2022-01-04 14:55:00,32.18,TTM
open,2022-01-04 14:54:00,32.14,TTM
high,2022-01-04 14:54:00,32.14,TTM
low,2022-01-04 14:54:00,32.14,TTM
close,2022-01-04 14:54:00,32.14,TTM
open,2022-01-04 14:53:00,32.14,TTM
high,2022-01-04 14:53:00,32.14,TTM
low,2022-01-04 14:53:00,32.14,TTM
close,2022-01-04 14:53:00,32.14,TTM
open,2022-01-04 14:52:00,32.16,TTM
high,2022-01-04 14:52:00,32.16,TTM
low,2022-01-04 14:52:00,32.135,TTM
close,2022-01-04 14:52:00,32.14,TTM
open,2022-01-04 14:51:00,32.185,TTM
high,2022-01-04 14:51:00,32.19,TTM
low,2022-01-04 14:51:00,32.16,TTM
close,2022-01-04 14:51:00,32.165,TTM
open,2022-01-04 14:50:00,32.19,TTM
high,2022-01-04 14:50:00,32.19,TTM
low,2022-01-04 14:50:00,32.19,TTM
close,2022-01-04 14:50:00,32.19,TTM
open,2022-01-04 14:49:00,32.1773,TTM
high,2022-01-04 14:49:00,32.19,TTM
low,2022-01-04 14:49:00,32.17,TTM
close,2022-01-04 14:49:00,32.19,TTM
open,2022-01-04 14:48:00,32.25,TTM
high,2022-01-04 14:48:00,32.25,TTM
low,2022-01-04 14:48:00,32.14,TTM
close,2022-01-04 14:48:00,32.17,TTM
open,2022-01-04 14:47:00,32.23,TTM
high,2022-01-04 14:47:00,32.24,TTM
low,2022-01-04 14:47:00,32.23,TTM
close,2022-01-04 14:47:00,32.24,TTM
open,2022-01-04 14:46:00,32.21,TTM
high,2022-01-04 14:46:00,32.25,TTM
low,2022-01-04 14:46:00,32.21,TTM
close,2022-01-04 14:46:00,32.23,TTM
open,2022-01-04 14:45:00,32.24,TTM
high,2022-01-04 14:45:00,32.24,TTM
low,2022-01-04 14:45:00,32.21,TTM
close,2022-01-04 14:45:00,32.21,TTM
open,2022-01-04 14:44:00,32.298,TTM
high,2022-01-04 14:44:00,32.298,TTM
low,2022-01-04 14:44:00,32.24,TTM
close,2022-01-04 14:44:00,32.24,TTM
open,2022-01-04 14:43:00,32.32,TTM
high,2022-01-04 14:43:00,32.32,TTM
low,2022-01-04 14:43:00,32.3,TTM
close,2022-01-04 14:43:00,32.3,TTM
open,2022-01-04 14:41:00,32.27,TTM
high,2022-01-04 14:41:00,32.28,TTM
low,2022-01-04 14:41:00,32.27,TTM
close,2022-01-04 14:41:00,32.28,TTM
open,2022-01-04 14:40:00,32.26,TTM
high,2022-01-04 14:40:00,32.27,TTM
